Image Name,Annotation 1 (Human - Ground Truth),Vit-Gpt2,BLIP(Conditional),BLIP (UNCONDITIONAL),GIT
365,Children engaging in a science experiment with mentors,a number of women sitting at a table in front of a mirror,a photography of a group of children in a lab,a group of children looking at a microscope,a man looking at a microscope with children looking at them.
366,Person lighting a candle,a person is lighting candles on a cake,a photography of a woman lighting a candle,a woman lighting a candle on a table,a candle is lit on a table.
367,A woman stirring a pot on the stove,a woman standing in a kitchen preparing food,a photography of a woman in a kitchen,a woman standing in a kitchen preparing food,a woman standing in a kitchen preparing food.
368,Workers harvesting grapes in a vineyard,two people in a field with a bunch of green plants,a photography of two young boys picking grapes in a vineyard,two people picking grapes in a vineyard,workers pick grapes in a vineyard.
369,Three Guitarists playing together in an outdoor jam session,a man standing next to another man on a rock,a photography of a man playing a guitar,two men with guitars,a group of musicians playing guitars on the steps of a building.
370,Person buttoning a shirt while looking into a laptop,a man in a kitchen preparing food on a stove,a photography of a man in a kitchen,a man in a kitchen using a laptop,man in the kitchen with laptop
371,A kid tying a necktie looking at a mirror,a man standing in front of a mirror brushing his teeth,a photography of a man in a white shirt looking at his reflection in a mirror,a man in a white shirt looking at his reflection in the mirror,a young man is taking a picture of himself in the mirror.
372,Musicians rehearsing for a symphonic performance,a large group of people sitting in a large room,a photography of a choir singing in a church,the orchestra of the church,a group of musicians in a church
373,Cyclists touring through countryside roads,a man riding a bike down a road next to a herd of sheep,a photography of a group of people riding bikes,a group of people riding bikes down a dirt road,a group of people riding bikes down a road.
374,Man ironing a shirt,a man standing on top of a bed next to a suitcase,a photography of a man ironing a shirt,a man ironing a shirt on an ironing board,a man putting on a pair of shoes
375,A person ice climbing on a frozen waterfall,a number of animals in the snow,a photography of a man standing on a frozen waterfall,a person standing on a frozen waterfall,ice formations on the side of a cliff
376,Person sharpening a pencil,a person using a pair of scissors to cut a piece of paper,a photography of a man using a cellphone,a man using a cell phone,a man is cutting a nail into a woman's hand.
377,People participating in a lantern release event,people standing around a christmas tree,a photography of a couple holding up a lantern at night,people holding up lanterns in the dark sky,a group of friends holding lanterns
378,A man and a kid creating sand mandalas on a beach,a person standing on top of a sandy beach,a photography of a person standing in the sand,a person standing on a beach with a kite,a woman walks on the beach with a heart drawn in the sand.
379,Farmer milking cows in a dairy farm,a man milking a cow in a barn,a photography of a man milking a cow,a man milking a cow in a barn,"Person, a farmer, milks a cow."
380,Gardener about to climb a wooden ladder in a park,a woman standing next to a wooden fence near a garden,a photography of a man working in a garden,a man working in a garden,gardeners working on a ladder in a garden
381,Barber giving a haircut in a barbershop,a man taking a picture of himself in a mirror,a photography of a man getting his hair cut,a man with a beard and a gun,a man with a beard is cutting his hair with a razor.
382,Baker decorating cakes in a bakery,a woman cutting a cake with a knife,a photography of a woman decorating a cake,a woman is decorating a cake with pink icing,a woman decorating a cake with a brush
383,Lifeguard watching swimmers at a pool,a man standing on a beach next to a body of water,a photography of people swimming in a pool,a group of people swimming in a pool,swimming pool on the seafront
384,A person doing woodwork in his garage,a man is cutting wood on a table,a photography of a man working on a piece of wood,a man in a plaid shirt and hat working on a piece of wood,a man in a plaid shirt is cutting wood.
385,Magician performing card tricks,a person holding a cell phone in their hand,a photography of a man in a yellow vest holding a small pocket watch,a man in a vest holding a small box,a man in a yellow vest holding a game of cards.
386,Dentist checking a patient’s teeth,a woman is eating a piece of food,a photography of a woman getting her teeth checked,a woman getting her teeth examined by a dentist,a dentist examines the teeth of a patient
387,Baker kneading and flipping dough in a bakery,a man holding a white frisbee in a kitchen,a photography of a chef throwing pizza dough,a man in an apron making pizza,a man holding a plate in his hand.
388,Scientist or a lab technician writing equations on a whiteboard,a woman in a white dress holding a sign,a photography of a scientist writing on a whiteboard,a woman in a white coat writing on a whiteboard,a doctor writing on a whiteboard
389,Air force Pilot inspecting the engine of a plane,a small plane is parked on the tarmac,a photography of a fighter plane,a man standing next to an airplane with a propeller,a fighter jet with a painted nose and nose
390,Person reading a library book sitting in a ladder near a high shelf,a man sitting on a book shelf reading a book,a photography of a man reading a book in a library,a man sitting on a chair reading a book in a library,a man sitting in a chair reading a book
391,Person scraping ice from a car windshield,a man is standing in the snow with a snowboard,a photography of a woman cleaning a car in the snow,a woman cleaning her car in the snow,a woman cleans her car in the snow.
392,Lab technicians wearing masks in a clean lab with computers,a man in a white shirt is working on a computer,a photography of a laboratory,a laboratory with people working in it,a doctor working in a lab
393,Car enthusiasts admiring vehicles at a car show,a crowd of people watching a race on a race track,a photography of a car in a parking lot,a black car driving down a street with people,automobile model is a sports car that was driven by actor.
394,Guests seated at a wedding ceremony infront a beautifully large bamboo tree,a large group of people sitting around a tree,a photography of a wedding ceremony in the woods,a couple sitting at a wedding ceremony under a tree,wedding ceremony in a tree
395,Group playing basketball on an outdoor court,young men standing on top of a soccer field,a photography of a basketball game being played,a group of young men playing a game of basketball,basketball player is a former player and basketball player.
396,Soldiers marching in unison during a parade on a foggy day,a large group of uniformed men in uniform on a street,a photography of police marching in Delhi,police officers march during a protest in New Delhi,a group of men in uniform
397,"A couple pushing a full shopping cart in a supermarket aisle, selecting groceries",a woman standing in front of a grocery store filled with fruits and vegetables,a photography of a couple shopping in a grocery store,a woman and a man shopping in a grocery store,young women shopping at a supermarket
398,Children creatively drawing with colorful chalk on a sidewalk,a girl sitting on the ground next to a trash can,a photography of two little girls drawing with chalk,two children drawing on the sidewalk,children drawing on the pavement
399,Choir singing harmoniously together wearing orange robes,a woman in a red dress standing in front of a group of people,a photography of a choir singing,a choir with a man in a red robe and a woman in a yellow robe,a group of young people in a church
400,Man repairing a roof,a man in a hat is working on a pipe,a photography of a man working on a roof,a man working on a roof,a worker is working on a roof.
401,Man attempting a slam dunk,a woman jumping in the air to catch a frisbee,a photography of a basketball player jumping to the basket,a man jumping in the air with a basketball,a young man playing basketball in a gym.
402,Swimmers race in a pool,a pool of water with people in it,a photography of swimmers in a swimming pool,a group of swimmers in a pool,swimmers swimming in a pool
403,Football player throwing the football,a baseball player is running to catch a ball,a photography of a football player throwing a ball,a man in a uniform,Person throws a pass during the first half of a college football game against American football team.
404,Swimmers diving into the water,a swimming pool with two people in it,a photography of swimmers in a swimming pool,two swimmers in a swimming pool,a man swimming in a swimming pool
405,Horse racing,a number of horses racing on a track,a photography of a horse race,a group of jockeys racing horses on a track,a jockey riding a horse
406,Football player jumps to evade tackle,a professional baseball game being played on a field,a photography of a football player jumping in the air,a man in a red and white uniform,Person leaps over a defender during a game.
407,Man in position to shoot the basketball.,a young man holding a basketball in his hands,a photography of a basketball player shooting a ball,a man holding a basketball in his hands,Basketball player is a professional basketball player.
408,Football player catches the ball,a man in a red and white uniform kicking a soccer ball,a photography of a football player throwing a ball,a football player running with the ball,Person catches a pass during the game against American football team.
409,Two men steering the sail boat,a person riding a surfboard on top of a body of water,a photography of a man sailing a sailboat,a man sailing on a small sailboat,Person windsurfing with the bridge in the background.
410,A football fan cheers for their team,a man standing on top of a field holding a baseball bat,a photography of a soccer game,a man taking a picture of a soccer game,a man raises his fist in the air
411,Football player celebrating,a man holding a tennis racket on a field,a photography of a man playing tennis,a man in a red shirt playing tennis,Football player celebrates after scoring his team's second goal during the match.
412,Men playing soccer,young men playing a game of soccer,a photography of a soccer game,a group of young men playing soccer on a field,a group of men playing soccer on a field.
413,Refree booking soccer player,young men standing on top of a soccer field,a photography of a soccer team,a group of young men standing on a soccer field,a soccer player talking to a group of players
414,Coach discussing tactics ,a man is playing a game of frisbee,a photography of a coach talking to his children,a man sitting on the grass,a man sitting on the grass with boys
415,Two coaches discussing game plans,two men standing next to each other on a field,a photography of two men playing soccer,two men standing on a soccer field,"Person, left, and Person during a training session."
416,Swimmers in position to start race,a man in a swimsuit in the middle of a pool,a photography of swimmers in a pool,a group of swimmers in a pool,Swimmers take part in the 100-meter freestyle race.
417,Cyclists racing ,bicyclists are riding down the street,a photography of a group of cyclists racing,a group of cyclists,Professional road racing cyclist in the middle of the race
418,Player drives forward with the ball,a number of people playing a game of soccer,a photography of a football game,a football player running with the ball,Person runs the ball during a game against a city.
419,Women warming up with strech bands,a woman in a pink dress is playing a game,a photography of a group of women doing yoga,a group of women doing yoga with purple ribbons,a group of women doing push-ups in a gym.
420,Voleyball player attempts to shoot while the other player tries to block,young men playing a game of frisbee,a photography of a volleyball match,a man in a yellow shirt playing volleyball,Person spikes the ball during a match against Person.
421,Man jogging in curved road with clear blue skies,a person walking on a sidewalk with a surfboard,a photography of a man walking on a road,a man walking on the road with a skateboard,a man running on a road
422,Man rock climbing with hills in the background,a person riding a rock on top of a mountain,a photography of a woman climbing a rock,a person climbing a rock on a mountain,Person climbs a rock face.
423,Woman in yoga position with blue sky background on top of a rock.,a man jumping up into the air on top of a rock,a photography of a woman doing yoga on a rock,a woman doing yoga on the rocks,Young woman doing yoga on the beach
424,Bike racer turning on a curved track,a person riding a motorcycle on a race track,a photography of a motorcycle racing on a track,a motorcycle rider on a track,Motorcycle racer on the track
425,Boxer punching his opponent while opponent tries to block,a man in a red shirt is on a red and white checkered,a photography of a boxing match,a man in a boxing ring,Professional boxer lands a punch on boxer
426,Woman jumping over a hurdle,a woman jumping high in the air on a skateboard,a photography of a woman jumping over a hurdle,a woman jumping over a hurdle,Person jumping high in the air
427,Bike mid-air jumoing from a cliff,a person jumping in the air on a dirt bike,a photography of a person jumping a bike,a man on a bike jumping off a rock,a man riding a motorcycle on a dirt road.
428,Stadium surrounded by brown secluded land ,a large building with a lot of lights on it,a photography of the new football stadium in the city of Edmonton,the football stadium in Edmonton,Aerial view of the stadium
429,Crowd watching boxing match,a large group of people in a large auditorium,a photography of a boxing match in a large arena,a boxing ring with a crowd of people watching,a boxing ring with a boxing ring on the wall
430,Man running on treadmill in the gym,a man is standing in front of a large window,a photography of a woman running on a treadmill,a woman running on a treadmill,a man running on a treadmill in a gym
431,Refree declares the winner for boxing match,two young men standing next to each other on a stage,a photography of a group of young men in a boxing ring,a group of men standing around a boxing ring,Person celebrates his win with the team.
432,Kids playing cricket,a man on a field with a baseball bat,a photography of a young boy playing cricket,a boy playing cricket,Person hits the ball during a match against a city.
433,Man is wall climbing ,a man jumping up into the air with a skateboard,a photography of a man climbing a wall,a man climbing on a wall with a helmet,"Person, a rock climber, hangs on the wall."
434,Baseball player throwing the ball ,a baseball player pitching a ball on top of a field,a photography of a baseball player throwing a ball,a young baseball player about to throw the ball,a baseball player is trying to catch a ball.
435,A basketball player in red team blocks a shot.,young men playing a game of basketball,a photography of a basketball game,a man wearing a red shirt,"Person, left, and Person compete for the ball during the tournament."
436,Football players celebrating ,three girls are posing for a picture in a soccer game,a photography of a group of women soccer players,a group of women in green jerseys,Players celebrate after winning the match.
437,Football player kicking the ball,a young boy kicking a soccer ball on a field,a photography of a soccer player kicking the ball,a man kicking a soccer ball on a field,a man kicking a soccer ball on a field.
438,Swimmer getting out of pool,a man in a bathing suit is sitting on the floor,a photography of a man in a swimming pool,a man in a wetsuit crouching on a surfboard,a man in a black helmet is training in a swimming pool.
439,Athletes warming up in a soccer field,young men playing a game of soccer,a photography of a group of young people playing soccer,a group of young people playing soccer on a field,The girls' soccer team warms up before the match.
440,Baseball player attempting to hit the ball,a woman swinging a baseball bat at a ball,a photography of a girl playing softball,a girl swinging a bat at a softball game,a young woman swinging a bat at a softball.
441,Woman surfing in the waves,a woman riding a surfboard on top of a wave,a photography of a woman surfing in the ocean,a woman in a black swimsuit surfing on a pink surfboard,a woman on a surfboard in the ocean.
442,Players discussing with football field in background,a team of baseball players standing on a field,a photography of a soccer team,a group of young men standing on a soccer field,Person talks to his team before the game.
443,Man snowboarding with snow and mountains in the background,a man riding a snowboard on top of a snow covered slope,a photography of a snowboarder doing a trick,a man on a snowboard,a man on a snowboard doing a trick on a ramp.
444,Volleyball players celebrating,young women playing a game of frisbee,a photography of a volleyball team playing a game,a group of young women playing volleyball on a court,Person dives for the ball during a volleyball match.
445,Athlete in position to start the race,a man on a court with a tennis racket,a photography of a man kneeling on a track,a man kneeling on a track with a crowd watching,"Person, who was the first person to finish in the 100-meter race, was held."
446,Swimmers mid-air diving into the swimming pool,a man in a diving suit is doing a trick on a boat,a photography of swimmers,a group of people sitting on a diving platform,Swimmers in the water
447,People playing table tennis,a man and a woman playing a game of frisbee,a photography of a man playing ping-pong,a man playing ping-pong with a ping-pong ball,a man playing ping pong
448,Man swinging the golf stick with trees in the background,a man swinging a baseball bat at a ball,a photography of a man playing golf,a man in a green shirt and shorts playing golf,Golfer on a golf course
449,Boy roller skating in the middle of the road,a young man riding a skateboard down a street,a photography of a man riding a skateboard down a road,a man riding a skateboard down a street,a man riding a skateboard down a road.
450,Man flexes his muscles with gym equipment in the background,a man with a beard is sitting on a table,a photography of a man in a gym,a man with a beard smiling,Person working out in the gym
451,Kid bikes on a curved path with trees and bushes on the side,a man walking down a dirt road next to trees,a photography of a man walking down a dirt road,a man riding a bike down a dirt road,a cyclist rides along a dirt road.
452,Man playing table tennis in position to serve ,a man holding a tennis racquet on top of a tennis court,a photography of a man playing table tennis,a man in a red shirt playing table tennis,Person in action during the final against Person on day.
453,Refree watches two wrestlers wrestling each other ,a man and a woman are sitting on the floor,a photography of a wrestling match,a wrestling match with a wrestler in the middle,Person gets a hand on Person during their match.
454,Man mid-air jumping from one wall to another,a man flying through the air while riding a skateboard,a photography of a skateboarder doing a trick,a man jumping over a concrete structure in a parking lot,a man jumping in the air on a skateboard.
455,Men playing volleyball in the beach,a man and woman playing frisbee on a beach,a photography of a beach volleyball match,a group of people playing volleyball on a beach,two men playing volleyball on a beach
456,Girl performing gymnastic moves,a woman jumping on top of a box on top of a stage,a photography of a gymnast doing a trick,a woman doing a trick on a chair,Person competes on the balance beam during the women's individual all-around final.
457,Skateboarder mid-air in a skating park,a man flying through the air while riding a skateboard,a photography of a skateboarder doing a trick,a man doing a trick on a skateboard,a man doing a trick on a skateboard.
458,Golfer settinh up their shot,a man is walking on the grass with a skateboard,a photography of a man playing golf,a man kneeling on a golf course,Golfer lines up a putt on the 18th green during the final round of the golf tournament.
459,Man in the gym working out,a man in a blue shirt is playing a game on the nintendo w,a photography of a man working out in a gym,a man doing a pull-up exercise,Man working out in the gym
460,Basketball on the rim of the basket,a basketball court with a basketball in it,a photography of a basketball going through a hoop,a basketball going through a hoop,a basketball going through the net.
461,Group of Sports Player Kneeling on Field,young men standing on top of a field,a photography of a group of young men playing soccer,a group of people sitting on a field,a group of young men playing a game of soccer
462,Rider riding dirt bike,a man riding a dirt bike on top of a dirt field,a photography of a person riding a dirt bike,a person riding a dirt bike on a track,a man riding a dirt bike in the dirt.
463,Woman doing yoga in the beach with water in the background,a woman standing on a surfboard on a beach,a photography of a woman doing yoga on the beach,a woman doing yoga on the beach,Yoga on the beach
464,Man playing soccer hitting ball with chest,a man is playing soccer on the beach,a photography of a man playing soccer on the beach,a man in a blue shirt playing soccer,a man playing with a soccer ball on a cloudy day.
465,People watching soccer game,a crowd of people watching a baseball game,a photography of a soccer game,a large crowd watching a soccer game,a general view of the stadium during the match.
466,Man playing Basketball dribbling,a young man is playing a game of basketball,a photography of a basketball player in action,a young man in a white uniform holding a basketball,Person dribbles the ball during a game against private school.
467,Soccer Player in Field,a young man kicking a soccer ball on a field,a photography of a soccer player in action,a young man kicking a soccer ball on a field,a man kicking a soccer ball on a field.
468,Woman heading the soccer ball,a woman kicking a soccer ball on a field,a photography of a young girl playing soccer,a girl in an orange shirt,a female soccer player looks up at the ball.
469,Man riding a brown horse,a jockey riding a horse on a track,a photography of a horse racing on a track,a jockey riding a horse on a track,a jockey riding a horse in a race.
470,Boy adjusting harness to the rope,a man with a helmet on holding a bike,a photography of a boy holding a pair of skis,a young boy holding a pair of skis,a boy holding onto a bicycle
471,Man Jumping from Airplane,a man on a skateboard in the air,a photography of a man falling off a plane,a man in a helmet flying through the air,Person flying in the air
472,Man Bungee Jumping over Sea,a person is flying a kite in the air,a photography of a man on a rope,a man suspended by a crane on the beach,a man flying high above a beach.
473,Man in Grey Shirt Lifting Barbell,a man that is kneeling down in the dirt,a photography of a man doing a deadlift exercise,a man doing a deadlift exercise,a man is doing push-ups in the forest.
474,Rider Riding on Gray and Black Sports Bike,a man riding a motorcycle on a race track,a photography of a person riding a motorcycle,a person riding a motorcycle on a track,a man riding a motorcycle on a race track.
475,Man Wearing Green American Football Jersey Holding the Ball While Running on the Field,a man is running with a football in his hand,a photography of a football player running with the ball,a man running with a football on a field,Person runs the ball during the game against American football team.
476,Men Playing Football in Empty Stadium,young men playing a game of soccer,a photography of a soccer game,a group of young men playing soccer on a field,Players shake hands after the game.
477,Group of Men Playing Rugby,young men playing a game of soccer,a photography of a rugby game,a group of men playing a game of rugby,Rugby player is tackled by players during the match.
478,Woman in Pink Shirt Riding on Brown Horse,a man riding on the back of a brown horse,a photography of a woman riding a horse,a woman riding a horse in a pen,a young girl riding a horse in a dirt field.
479,A man in a cowboy hat is lassoing a horse,a man riding on the back of a brown horse,a photography of a rodeo horse and a rider,a man riding a horse,a man riding a horse in a rodeo
480,Woman Carrying Surfboard in middle of sea,a woman in a wet suit holding a surfboard,a photography of a woman in the ocean,a woman in a bikini holding a surfboard,a woman walking into the ocean holding a surfboard.
481,White Horse Kicking While Man on Ground,a man riding on the back of a brown horse,a photography of a cowboy falling off a horse,a man falling off a horse in a rodeo,a man falling off a horse in a rodeo
482,Woman Hit on face by Boxing Glove,a man holding a camera in his right hand,a photography of a woman wearing boxing gloves,a woman with a boxing glove on her head,a young man with boxing gloves and a pair of gloves
483,Packed Soccer Stadium,a crowd of people watching a professional baseball game,a photography of a soccer stadium with a huge circle of fans,a large stadium filled with people,a general view of the stadium during the match.
484,Football Team Greeting on Soccer Field,men standing on top of a field,a photography of a soccer team,a group of young men standing on a soccer field,Players greet each other during a training session.
485,Man in Green and White Stripes Long Sleeve Shirt Swinging Black Golf Club,a woman standing on top of a lush green field,a photography of a man playing golf,a man in a green shirt swinging a golf club,a man playing golf on a sunny day
486,People rafting in a river with rocks,a small boat in the middle of a river,a photography of a man in a kayak in a river,a man in a kayak paddling down a river,a couple of people in a raft in a river
487,cyclists riding bikes on road during race,a man riding a bike down a street,a photography of a man riding a bike,a man riding a bike down a street,a man in a red shirt is checking his phone.
488,Baseball Player Sprinting on Field ,a baseball player pitching a ball on a field,a photography of a baseball player at bat,a baseball player running to first base,Baseball player hits a home run during the first inning of a game against sports team.
489,Man in white jersey kicks ball as his opponent looks,young men playing a game of soccer,a photography of two men playing soccer on a field,two men playing soccer on a field,Person dribbles the ball down the field.
490,Football Player diving to catch the ball,a soccer player kicking a soccer ball on a field,a photography of a football player running with the ball,a football player diving for a ball,Person dives for a touchdown against Person during the first half of a college football game.
491,A Soccer Match in a Stadium,soccer players are playing soccer on a field,a photography of a soccer game with a crowd watching,a group of men playing soccer on a field,Football player controls the ball during the match.
492,Four Boys Running in Track,young men playing a game of soccer,a photography of a group of young boys playing soccer,a group of young boys running on a track,The boys are in the middle of a race.
493,A Girl Doing a Side Split,a little girl standing on top of a blue floor,a photography of a little girl playing with a puzzle,a little girl sitting on the floor in a room,a little girl sitting on the floor
494,Man in Black Tank Top and Red Shorts Waveboarding,a woman is water skiing on a lake,a photography of a man water skiing,a man water skiing on a lake,a man riding a water ski on top of a lake.
495,An Empty Sports Stadium,a stadium filled with lots of fans watching a game,a photography of a stadium,a stadium with a large green field,a general view of the stadium.
496,Man in Black Snowboard Performs a Jump with background of snow and mountain,a person on a snowboard jumping over a snow covered slope,a photography of a snowboarder in the air,a snowboarder jumping off a wooden bench,a snowboarder is in mid-air after a jump.
497,Man in Red Jacket Playing Ice Skates going downhill,a person on skis in the snow,a photography of a person skiing down a hill,a person in a red jacket skiing down a hill,a person riding skis down a snow-covered slope.
498,Crowd Runners,a large group of people standing in front of a crowd,a photography of a crowd of runners,a large group of people running in a race,The race is a big success
499,Woman Lifting Green and Black Barbell,a woman holding a surfboard in front of a crowd of people,a photography of a woman doing a barbell exercise,a woman doing a barbell exercise,"Person, a professional athlete, raises her arms in the air."
500,Man throwing football,a man kicking a soccer ball on a field,a photography of a soccer player,a man wearing a blue shirt,Person during a training session.
501,Multicolored Abstract Painting,a painting of a tree filled with lots of leaves,a photography of a painting of a blue and green abstract painting,a painting of a blue and green abstract,blue and green abstract painting in a studio
502,Woman Sitting in Traditional Clothing and with Painting behind,a painting of a woman sitting on a bench,a photography of a woman sitting in a tree,a painting of a woman sitting on a bench,a woman stands in front of a painting of her mother
503,Woman Sitting in Front of Three Paintings,a painting of a woman sitting on a bench,a photography of a woman sitting on a bench in front of paintings,a woman sitting on a bench,a woman sitting on a bench in front of a painting.
504,Red Human Face Monument on Green Grass Field,two red fire hydrants sitting next to each other,a photography of two red masks in a garden,two red masks sitting in the grass,two red sculptures in the park
505,White Ceramic Sculpture With Black Face Mask,a person wearing a white hat with a white stripe on it,a photography of a sculpture of a man wearing a mask,a white statue with a black mask on it,sculpture of a man with mask
506,Woman Statuette during Golden Hour sky,a statue of a man standing on top of a tall building,a photography of a statue in a park,a statue of a woman holding a bird,a statue of a horse and rider
507,Woman Sitting between two Statue,a woman sitting next to a statue of a man,a photography of a woman with red hair and a white mask,a woman sitting next to a sculpture of a man,a woman with her face painted on her head
508,Person Holding Gypsum Head Covered With Plastic Bag,a woman sitting on top of a wooden chair,a photography of a person's hand holding a plastic bag,a person holding a plastic bag on a stool,a woman's hand is wrapped in a veil.
509,Niccolo Macchiavelli's Statue,a statue of a man in front of a building,a photography of a statue of Pope Pius,a statue of a man in a robe and hat,statue of a man holding a pipe
510,Two Gray and Brass Metal Dolphin Pool Decors,a statue of a bird sitting on top of a body of water,a photography of two dolphins in the water,two dolphins in the water,a sculpture of a dolphin
511,Painting of People Inside a Dome ,a large group of people standing in front of a large building,a photography of the School of Athens painting,The School of Athens painting,painting of the interior of a church
512,Art Painting on Walls,a graffiti covered wall with graffiti on it,a photography of a mural on a building in the Bronx neighborhood of Brooklyn,a mural on a building in the city,a mural on the side of a building.
513,Man Holding Ice Cream Cone Under Cloud,a person holding a piece of food in their hand,a photography of a hand holding an ice cream cone,a hand holding a cone of ice cream,ice cream in a hand
514,Two Men in Costume on Alley,two men dressed in costume fighting each other,a photography of two people in traditional costumes,two people in traditional costumes dancing,digital art selected for the #
515,Sculpture Covered Yellow Plastic on White Background,a statue of a frog sitting on top of a table,a photography of a bust of a woman with a yellow plastic bag on her head,a white bust of a woman with a yellow plastic bag on her head,a yellow bag of material
516,Painting of Fish With Wings in the wall,a painting of a bird on the side of a building,a photography of a bird painted on a wall,a mural on a wall,a mural of a fish on a wall.
517,Abstract Painting,a painting of a man holding a skateboard,a photography of a painting of a man,a painting of a horse in a room,painting of a woman's head
518,The Holy Family Stained Glass Artwork,a large window with a picture of a woman on it,a photography of a stained glass window of the Nativity scene,stained glass window with a nativity scene,stained glass window in St. Mary's Church
519,"Blue, Yellow, and Red Abstract Painting",a pile of blue and yellow fabric sitting on top of a table,a photography of a painting,a painting with blue and yellow paint,abstract painting of a blue and yellow abstract
520,Woman Standing Beside Sculpture of headless man ,a woman standing next to a statue of a woman,a photography of a woman standing in front of a statue,a woman standing next to a statue of a man,a woman standing next to a sculpture
521,Person Holding Black Pen Sketching Flower,a person cutting a piece of paper with scissors,a photography of a hand holding a pen and drawing a flower design,a person drawing with a pencil on paper,a hand drawing of a black and white floral design.
522,Pastel Watercolor art,a painting of a kite in the shape of a fish,a photography of a watercolor painting of a beach,watercolor waves clipart,watercolor painting of clouds and mountains on a white background vector art illustration
523,Person's Face Statue,a black and white photo of a black and white vase,a photography of a statue of a horse,a statue of a horse with a long mane,close-up of the sculpture
524,Bike Chain in Number One shape with Orange Background,a blue and white skateboard sitting on top of a table,a photography of a small tool on a bright orange background,a small metal object on a bright orange background,a metal wrench on an orange background.
525,White Concrete Spiral Stairway,a large stairway with a clock on it,a photography of a spiral staircase,a spiral staircase with a clock on top,looking down from the top of the stairs
526,Man in White Mask in Black Crew Neck Shirt and Blue Zip Up Jacket Infront Graffiti Wal,a man with a tattoo on his face,a photography of a man wearing a mask,a man wearing a mask standing in front of a wall,a man in a mask standing in front of a wall with a mural of a face.
527,Raindrops on Glass Window,a painting of a group of people in a room,a photography of raindrops on a window,raindrops on a window with blurred lights,rain drops on the window
528,Graffiti of Woman Licking Popsicle,a blurry photo of a man with a tattoo on his face,a photography of a man with glasses on a wall,a painting of a man with glasses on a wall,a man with glasses and a mouth full of teeth
529,Multicolored Abstract Painting With Brown Frame,a collage of photos of a painting of a person,a photography of a painting of a group of people,a painting of many different colored animals,the painting is a painting by painting artist.
530,Brown and Black Animal Shape Artwork Painting,a painting of a painting of a tree,a photography of a dog on a wall,a dog painted on a wall with a cage,a piece of art by Person
531,Gautama Buddha Statue with blue sky in background,a statue of a man sitting on top of a stone wall,a photography of a Buddha statue in a park,a statue of Buddha sitting on a stone,"the head of Author, the head of Author"
532,Human Statue Under Clear Sky,a statue of a man standing on top of a white plate,a photography of a statue of a man with a bird on his head,a statue of a man with a bird on his head,a statue of a man with a crown of thorns on top of it.
533,Sculpture of Screaming Person with snakes around his head,a statue of a man in a mask,a photography of a statue of a man with a monkey on his shoulder,a statue of a man with a hat on,a lion statue in the street
534,White Masks,a pile of teddy bears sitting on top of each other,a photography of a pile of white masks,a pile of white masks with holes in them,"a collection of masks from the book ""The Book"" in the book market in Amsterdam."
535,Kissing Man and Woman Statue,a statue of a man standing next to a statue of a woman,a photography of a couple standing on a statue,a statue of two people on top of a building,a couple standing on top of each other
536,Statue of Man Wearing Crown with leaves in background,a statue of a woman in a white dress,a photography of a statue of a man,a statue of a man with a crown on his head,a statue of a king.
537,Granite statue of man against overcast sky,a man with a hat is standing in front of a brick wall,a photography of a statue of a man holding a book,a statue of a man holding a book,a statue of military commander
538,Red and Multicolored Figure of a Person,a person dressed up as a clown on a skateboard,a photography of a toy figure on a blue background,a toy figure standing on a wooden base,a wooden toy with a colorful body and a blue background
539,Two Women Walking in Front of Graffiti,a woman standing in front of a large mural,a photography of a woman walking under a bridge,a man walking past a large mural of a face,a mural of a face
540,People Holding Mask Over A Sculpture,a person cutting a piece of cloth with a pair of scissors,a photography of a sculpture of a lion wearing a mask,a sculpture of a lion wearing a black mask,sculpture of a head and hands
541,Ornamented Columns with Paintings,a large building with many statues around it,a photography of the columns of the Temple of Karnak,a large column with paintings on it,columns of the temple of deity
542,A Woman Posing with a Sculpture of Mans face in her hand,a woman sitting on a chair holding a piece of cake,a photography of a woman holding a baby,a woman sitting on a stool holding a baby,a woman sitting on a chair with a statue of a head.
543,Pink and Blue Abstract Painting,a blurry photo of a red and white paint job,a photography of a red and blue abstract painting,a red and blue painting with a lot of paint,digital art selected for the #
544,Horse Sculpture Covered with Paint,a statue of a horse on top of a street,a photography of a horse with paint splattered on it,a horse painted with a lot of paint,a horse painted with paint
545,Ornaments on a Small Shelf,a painting of a man on a skateboard,a photography of a man on a shelf,a black and white photo of a shelf with a clock,a shelf with a bottle of wine and a bottle of wine
546,Torso Figurine on White Surface,a white statue of a white bear sitting on top of a white surface,a photography of a white sculpture of a dog,a white sculpture of a dog,a white ceramic sculpture of a seated man
547,Man and Woman Standing near the Abstract Painting Hanged on the Wall,a man is looking at a painting on a wall,a photography of a woman looking at a painting,a woman looking at a painting on a wall,students look at a painting
548,Clay Sculptures on a White Background,a white vase sitting on top of a white table,a photography of three ceramic rings on a white surface,three small white ceramic objects on a white surface,the art of making clay
549,Girl Covering Eyes surrounded by Sculptures in Exhibition,a woman standing next to a wall with statues,a photography of a woman standing in front of a wall with a row of heads,a woman standing in front of a wall with statues,a woman standing in front of a wall with statues of faces.
550,Abstract Glass Sculpture on Display with people in the background,a statue of a woman in front of a display,a photography of a glass sculpture on display,a glass sculpture on display in a room,the sculpture is made of glass.
